Player,Wins,GamesPlayed
Mohr,0,1
Morn,0,1
Daniel,0,1
Micki,0,0
Andreas,0,0
Fournaise,0,1
Emil,0,0
Rasmus,0,0
Alex,0,0
Reimer,1,1
