Player,Wins,GamesPlayed
Oliver,1,2
Morn,1,2
Daniel,0,2
Micki,0,1
Andreas,0,1
Fournaise,0,1
Emil,0,0
Rasmus,0,0
Alex,0,1
Reimer,0,0
